tier,herb_family,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
family,Asteraceae,signaling_pathway_modulation,0,0.9574468085106383,27,30,846,0.0,0.4706408345752608,-1.087301595227309,0.6191766325694064,1.0,ns
family,Berberidaceae,absorption_alteration,0,1.1063829787234043,18,52,846,0.0,0.39974259974259974,-1.3228567689077713,0.6200389862508213,1.0,ns
family,Acanthaceae,absorption_alteration,0,1.1063829787234043,18,52,846,0.0,0.39974259974259974,-1.3228567689077713,0.6200389862508213,1.0,ns
family,Magnoliaceae,transporter_modulation,0,1.1170212765957446,21,45,846,0.0,0.39892665474060823,-1.3258045729228853,0.6214466410102498,1.0,ns
family,Fabaceae,organ_toxicity_modulation,6,5.0236406619385345,125,34,846,1.2478991596638656,1.3235704323570432,0.4044349683192046,0.6214504054540697,1.0,ns
family,Amaryllidaceae,receptor_synergism,0,1.2411347517730495,10,105,846,0.0,0.330173775671406,-1.5987025573474587,0.6216821797144125,1.0,ns
family,Hypericaceae,additive_toxicity,0,1.1855791962174942,59,17,846,0.0,0.36998799519807923,-1.4344496337381247,0.623976330518534,1.0,ns
family,Ranunculaceae,receptor_antagonism,0,1.2411347517730495,70,15,846,0.0,0.3484328528940746,-1.5210474362983764,0.6270216951590408,1.0,ns
family,Celastraceae,transporter_modulation,0,1.3297872340425532,25,45,846,0.0,0.3346261581555699,-1.5793778677828907,0.6382090522696557,1.0,ns
family,Polygonaceae,signaling_pathway_modulation,2,1.3475177304964538,38,30,846,1.5476190476190477,1.8757510213890891,0.9074683438205122,0.6403844364123641,1.0,ns
family,Theaceae,absorption_alteration,2,1.475177304964539,24,52,846,1.4036363636363636,1.6996699669966997,0.7652546385976299,0.654456217691411,1.0,ns
family,Amaryllidaceae,CYP_induction,2,1.5839243498817968,10,134,846,1.3333333333333333,1.5638179800221976,0.645072600496098,0.6635951710737826,1.0,ns
family,Asteraceae,CYP_inhibition,9,7.851063829787234,27,246,846,1.2278481012658229,1.2594594594594595,0.3328046841379681,0.6674909197169742,1.0,ns
